Module, Description
apps/covidsim,""
apps/gromacs/2018.4,"gromacs 2018.4 with MPI "
apps/gromacs/2019.1,"gromacs 2019.1 with MPI "
apps/gromacs/2019.3,"gromacs 2019.3 with MPI "
apps/gromacs/2020.2,"gromacs 2020.2 with MPI "
apps/gromacs/2020.2-plumed-2.6.1,"gromacs 2020.2 with MPI, patched with Plumed 2.6.1 "
apps/julia,"Julia 1.4.2 "
apps/openfoam/v1812-gcc7.3-craympich-7.7.6,"Adds OpenFOAM v1812 to your path "
apps/openfoam/v1906-gcc7.3-craympich-7.7.6,"Adds OpenFOAM v1906 to your path "
apps/openfoam/v7.0-gcc7.3-craympich-7.7.6,"Adds OpenFOAM 7 to your path "
apps/plumed,"Plumed 2.6.1 - The community-developed PLUgin for MolEcular Dynamics "
apps/VTK,""
atp,"Loads Abnormal Termination Processing (ATP). "
cce/10.0.3,""
cce-sve/10.0.1,""
cpe-cray,""
cray-ccdb,"Loads the CCDB gui. "
cray-cti,"Loads the Cray Common Tools Interface. "
cray-fftw,"FFTW 3.3.8.8 - Fastest Fourier Transform in the West "
cray-hdf5,""
cray-hdf5-parallel,""
cray-libsci/20.09.1.1,"Cray Scientific Libraries "
cray-libsci/20.10.1.2,"Cray Scientific Libraries "
cray-mvapich2_nogpu,"Cray PE MVAPICH2 "
cray-mvapich2_nogpu_noregcache,"Cray PE MVAPICH2 "
cray-mvapich2_nogpu_noregcache_svealpha,"Cray PE MVAPICH2 "
cray-mvapich2_nogpu_svealpha,"Cray PE MVAPICH2 "
cray-mvapich2_noslurm_nogpu,"Cray PE MVAPICH2 "
cray-netcdf,""
cray-netcdf-hdf5parallel,""
cray-parallel-netcdf,"cray-parallel-netcdf - A parallel I/O library for NetCDF file access "
craype-arm-nsp1,"Targeting module for sve aarch64 processor. "
craype-arm-thunderx2,"Targeting module for ThunderX2 aarch64 processor. "
craype-network-infiniband,"Targeting module for Infinband interconnect. "
craype,"Setup for Cray PE driver set and targeting modules. "
craypkg-gen,""
cray-stat,"Loads the Cray Stack Trace Analysis Tool. "
gcc,""
gdb4hpc,"Loads the Cray Line Mode Parallel Debugger. "
papi,"PAPI - The Performance API (PAPI) project specifies a standard application programming interface (API) for accessing hardware performance counters available on most Cray systems. "
perftools-base/20.10.0,"The Performance Tools module sets up environments for CrayPat, Apprentice2 and Reveal "
PrgEnv-cray,""
tools/arm-compiler/20.1,"Arm C/C++/Fortran Compiler 20.1. "
tools/arm-forge/19.1,"Arm Forge "
tools/arm-forge/20.1.1,"Arm Forge "
tools/arm-forge/21.0,"Arm Forge "
tools/armie/19.0,"Arm Instruction Emulator 19.0. "
tools/armie/19.1,"Arm Instruction Emulator 19.1."
tools/armie/19.1,"Arm Instruction Emulator 19.1. "
tools/cmake,"CMake "
tools/cylc,"Cylc is a workflow engine for cycling systems "
tools/EasyBuild,"Description: EasyBuild is a software build and installation framework Homepage: https://easybuilders.github.io/easybuild URL: https://easybuilders.github.io/easybuild "
tools/fcm/2019.05.0,"FCM: a modern Fortran build system + wrappers to Subversion for scientific software development "
tools/gcc,"GCC "
tools/gnu-parallel/20190422,"GNU Parallel "
tools/rose/2019.01.2,"Rose is a toolkit for writing, editing and running application configurations. "
tools/singularity,"Singularity container tool "
valgrind4hpc,"Loads Parallel Valgrind tool (valgrind4hpc). "
