Module, Description
allinea/forge,"Allinea Forge - Allinea DDT and Allinea MAP  "
allinea/reports,"Allinea Performance Reports 7.0.6 - Allinea Performance Reports  "
anaconda/3,""
arm/forge/20.1.1,"allinea forge  "
bazel,"adds bazel  to your environment variables  "
blacs/openmpi/gcc/64,"adds Blacs to your environment variables  "
blas/gcc/64,"Adds BLAS library for GNU Fortran 64 bits to your environment.  "
bonnie++,"Adds bonnie++ to your environment  "
cce,""
cce/10.0.0,""
cdt/17.11,""
cdt/19.09,""
cdt/19.12,""
cdt/20.05,""
cluster-tools,"Adds cluster-tools to your environment  "
cmake,"adds CMake 3.12.3 to your environment variables  "
cmd,"Adds the CMDaemon binaries to your path.  "
cm-pmix3,"Sets up PMIx v3.1.4 in your enviornment  "
covid-19-covidsim,""
cray-ccdb,"Loads the CCDB gui.  "
cray-cti,"Loads the Cray Tools Interface.  "
cray-fftw,"FFTW 3.3.6.2 - Fastest Fourier Transform in the West  "
cray-fftw,"FFTW 3.3.8.3 - Fastest Fourier Transform in the West  "
cray-fftw,"FFTW 3.3.8.4 - Fastest Fourier Transform in the West  "
cray-fftw,"FFTW 3.3.8.5 - Fastest Fourier Transform in the West  "
cray-fftw_impi,"FFTW 3.3.6.2 - Fastest Fourier Transform in the West  "
cray-fftw_impi,"FFTW 3.3.8.3 - Fastest Fourier Transform in the West  "
cray-fftw_impi,"FFTW 3.3.8.4 - Fastest Fourier Transform in the West  "
cray-fftw_impi,"FFTW 3.3.8.5 - Fastest Fourier Transform in the West  "
cray-impi/5,"loads the Intel MPI software development environment driver  "
cray-impi,"loads the Intel MPI software development environment driver  "
cray-impi,"loads the Intel MPI software development environment driver  Cray PE Intel MPI  "
cray-lgdb,"Loads the Cray Line Mode Parallel Debugger.  "
cray-libsci/16.09.1,"Cray Scientific Libraries  "
cray-libsci/17.11.1,"Cray Scientific Libraries  "
cray-libsci/19.06.1,"Cray Scientific Libraries  "
cray-libsci/20.03.1,"Cray Scientific Libraries  "
cray-libsci_acc/16.09.1,"Cray Scientific Libraries for GPU  "
cray-libsci_acc/17.03.1,"Cray Scientific Libraries for GPU  "
cray-libsci_acc/19.06.1,"Cray Scientific Libraries for GPU  "
cray-libsci_acc/19.10.1,"Cray Scientific Libraries for GPU  "
cray-libsci_acc/20.03.1,"Cray Scientific Libraries for GPU  "
cray-mvapich2,"Cray PE MVAPICH2  "
cray-mvapich2-gdr-2_2,"Cray PE MVAPICH2 GDR  "
cray-mvapich2-gdr-4.cuda8.0.mofed3.4pbs,"Cray PE MVAPICH2 GDR  "
cray-mvapich2_gnu,"Cray PE MVAPICH2  "
cray-mvapich2_nogpu,"Cray PE MVAPICH2  "
cray-mvapich2_nogpu_gnu,"Cray PE MVAPICH2  "
cray-mvapich2_noslurm_cuda101,"Cray PE MVAPICH2  "
cray-mvapich2_noslurm_cuda102,"Cray PE MVAPICH2  "
cray-mvapich2_noslurm_nogpu,"Cray PE MVAPICH2  "
craype-accel-nvidia20,"Sets options and paths required to build for target=nvidia20 (Fermi GPU)  "
